From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ABL1	Q13691	unreviewed	Q13691_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	115
ABL1	Q13914	unreviewed	Q13914_HUMAN	"Non-specific protein-tyrosine kinase, EC 2.7.10.2"	ABL1	Homo sapiens (Human)	64
ABL1	Q13915	unreviewed	Q13915_HUMAN	C-abl	ABL1	Homo sapiens (Human)	119
ABL1	Q3B836	unreviewed	Q3B836_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	396
ABL1	Q3B837	unreviewed	Q3B837_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	396
ABL1	Q86Y36	unreviewed	Q86Y36_HUMAN	ABL1 protein	ABL1	Homo sapiens (Human)	30
ABL1	R4GRW0	unreviewed	R4GRW0_HUMAN	Tyrosine-protein kinase ABL1	ABL1	Homo sapiens (Human)	64
ABL2	P42684	reviewed	ABL2_HUMAN	"Tyrosine-protein kinase ABL2, EC 2.7.10.2 (Abelson murine leukemia viral oncogene homolog 2) (Abelson tyrosine-protein kinase 2) (Abelson-related gene protein) (Tyrosine-protein kinase ARG)"	ABL2 ABLL ARG	Homo sapiens (Human)	1182
ACKR3	P25106	reviewed	ACKR3_HUMAN	"Atypical chemokine receptor 3 (C-X-C chemokine receptor type 7, CXC-R7, CXCR-7) (Chemokine orphan receptor 1) (G-protein coupled receptor 159) (G-protein coupled receptor RDC1 homolog, RDC-1)"	ACKR3 CMKOR1 CXCR7 GPR159 RDC1	Homo sapiens (Human)	362
ACKR3	A0A140T9K6	unreviewed	A0A140T9K6_HUMAN	Atypical chemokine receptor 3	ACKR3	Homo sapiens (Human)	210
ACSL3	O95573	reviewed	ACSL3_HUMAN	"Fatty acid CoA ligase Acsl3 (Arachidonate--CoA ligase, EC 6.2.1.15) (Long-chain acyl-CoA synthetase 3, LACS 3) (Long-chain-fatty-acid--CoA ligase 3, EC 6.2.1.3) (Medium-chain acyl-CoA ligase Acsl3, EC 6.2.1.2)"	ACSL3 ACS3 FACL3 LACS3	Homo sapiens (Human)	720
ACSL3	A0A024R487	unreviewed	A0A024R487_HUMAN	"Acyl-CoA synthetase long-chain family member 3, isoform CRA_a"	ACSL3 hCG_21017	Homo sapiens (Human)	720
ACSL3	A0A7P0T8L6	unreviewed	A0A7P0T8L6_HUMAN	Fatty acid CoA ligase Acsl3	ACSL3	Homo sapiens (Human)	568
ACSL3	A0A7P0T905	unreviewed	A0A7P0T905_HUMAN	Fatty acid CoA ligase Acsl3	ACSL3	Homo sapiens (Human)	518
ACSL3	A0A7P0TA76	unreviewed	A0A7P0TA76_HUMAN	Fatty acid CoA ligase Acsl3	ACSL3	Homo sapiens (Human)	712
ACSL3	A0A7P0TB52	unreviewed	A0A7P0TB52_HUMAN	Fatty acid CoA ligase Acsl3	ACSL3	Homo sapiens (Human)	659
ACSL3	A0A7P0TBB1	unreviewed	A0A7P0TBB1_HUMAN	Fatty acid CoA ligase Acsl3	ACSL3	Homo sapiens (Human)	695
ACSL3	A0A7P0TBL9	unreviewed	A0A7P0TBL9_HUMAN	Fatty acid CoA ligase Acsl3	ACSL3	Homo sapiens (Human)	283
ACSL3	C9JC11	unreviewed	C9JC11_HUMAN	Fatty acid CoA ligase Acsl3	ACSL3	Homo sapiens (Human)	88
ACSL3	F5GWH2	unreviewed	F5GWH2_HUMAN	Fatty acid CoA ligase Acsl3	ACSL3	Homo sapiens (Human)	141
ACSL3	H7BYZ7	unreviewed	H7BYZ7_HUMAN	Fatty acid CoA ligase Acsl3	ACSL3	Homo sapiens (Human)	434
ACSL3	Q6PIM8	unreviewed	Q6PIM8_HUMAN	ACSL3 protein	ACSL3	Homo sapiens (Human)	164
ACSL6	Q9UKU0	reviewed	ACSL6_HUMAN	"Long-chain-fatty-acid--CoA ligase 6, EC 6.2.1.3 (Arachidonate--CoA ligase, EC 6.2.1.15) (Long-chain acyl-CoA synthetase 6, LACS 6)"	ACSL6 ACS2 FACL6 KIAA0837 LACS5	Homo sapiens (Human)	697
ACSL6	A0A494BZW8	unreviewed	A0A494BZW8_HUMAN	"Long-chain-fatty-acid--CoA ligase, EC 6.2.1.15, EC 6.2.1.3 (Acyl-CoA synthetase) (Long-chain acyl-CoA synthetase)"	ACSL6	Homo sapiens (Human)	662
ACSL6	A0A494C005	unreviewed	A0A494C005_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	332
ACSL6	A0A494C046	unreviewed	A0A494C046_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	242
ACSL6	A0A494C0A5	unreviewed	A0A494C0A5_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	338
ACSL6	A0A494C0B6	unreviewed	A0A494C0B6_HUMAN	"Long-chain-fatty-acid--CoA ligase, EC 6.2.1.15, EC 6.2.1.3 (Acyl-CoA synthetase) (Long-chain acyl-CoA synthetase)"	ACSL6	Homo sapiens (Human)	720
ACSL6	A0A494C0D5	unreviewed	A0A494C0D5_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	97
ACSL6	A0A494C0J9	unreviewed	A0A494C0J9_HUMAN	"Long-chain-fatty-acid--CoA ligase, EC 6.2.1.15, EC 6.2.1.3 (Acyl-CoA synthetase) (Long-chain acyl-CoA synthetase)"	ACSL6	Homo sapiens (Human)	669
ACSL6	A0A494C0V0	unreviewed	A0A494C0V0_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	49
ACSL6	A0A494C1I9	unreviewed	A0A494C1I9_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	272
ACSL6	A0A499FJL5	unreviewed	A0A499FJL5_HUMAN	"Arachidonate--CoA ligase, EC 6.2.1.15 (Arachidonate--CoA ligase)"	ACSL6	Homo sapiens (Human)	710
ACSL6	C9J3Z0	unreviewed	C9J3Z0_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	213
ACSL6	C9J4I1	unreviewed	C9J4I1_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	144
ACSL6	C9J8C7	unreviewed	C9J8C7_HUMAN	"Long-chain-fatty-acid--CoA ligase, EC 6.2.1.15, EC 6.2.1.3 (Acyl-CoA synthetase) (Long-chain acyl-CoA synthetase)"	ACSL6	Homo sapiens (Human)	687
ACSL6	C9JK59	unreviewed	C9JK59_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	152
ACSL6	C9JPA5	unreviewed	C9JPA5_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	134
ACSL6	C9JT10	unreviewed	C9JT10_HUMAN	Long-chain-fatty-acid--CoA ligase 6	ACSL6	Homo sapiens (Human)	99
ACSL6	D3DQ84	unreviewed	D3DQ84_HUMAN	"Acyl-CoA synthetase long-chain family member 6, isoform CRA_e"	ACSL6 hCG_23478	Homo sapiens (Human)	558
ACSL6	E7ERD7	unreviewed	E7ERD7_HUMAN	"Long-chain-fatty-acid--CoA ligase, EC 6.2.1.15, EC 6.2.1.3 (Acyl-CoA synthetase) (Long-chain acyl-CoA synthetase)"	ACSL6	Homo sapiens (Human)	677
ACVR1	Q04771	reviewed	ACVR1_HUMAN	"Activin receptor type-1, EC 2.7.11.30 (Activin receptor type I, ACTR-I) (Activin receptor-like kinase 2, ALK-2) (Serine/threonine-protein kinase receptor R1, SKR1) (TGF-B superfamily receptor type I, TSR-I)"	ACVR1 ACVRLK2	Homo sapiens (Human)	509
ACVR1	A0A0S2Z2Y3	unreviewed	A0A0S2Z2Y3_HUMAN	"Receptor protein serine/threonine kinase, EC 2.7.11.30"	ACVR1	Homo sapiens (Human)	351
ACVR1	A0A0S2Z345	unreviewed	A0A0S2Z345_HUMAN	"Receptor protein serine/threonine kinase, EC 2.7.11.30"	ACVR1	Homo sapiens (Human)	443
ACVR1	A0A1B0GXA9	unreviewed	A0A1B0GXA9_HUMAN	Activin receptor type-1	ACVR1	Homo sapiens (Human)	86
ACVR1	A0A804HHZ2	unreviewed	A0A804HHZ2_HUMAN	"Receptor protein serine/threonine kinase, EC 2.7.11.30"	ACVR1	Homo sapiens (Human)	436
ACVR1	A0A804HJQ0	unreviewed	A0A804HJQ0_HUMAN	"Serine/threonine-protein kinase receptor, EC 2.7.11.30"	ACVR1	Homo sapiens (Human)	507
ACVR1	C9JHJ7	unreviewed	C9JHJ7_HUMAN	Activin receptor type-1	ACVR1	Homo sapiens (Human)	87
ACVR1	C9JW28	unreviewed	C9JW28_HUMAN	Activin receptor type-1	ACVR1	Homo sapiens (Human)	21
ACVR1	D3DPA4	unreviewed	D3DPA4_HUMAN	"Serine/threonine-protein kinase receptor, EC 2.7.11.30"	ACVR1 hCG_1811747	Homo sapiens (Human)	509
ACVR1	L8E7H6	unreviewed	L8E7H6_HUMAN	Alternative protein ACVR1	ACVR1	Homo sapiens (Human)	44
ACVR1	Q53SF4	unreviewed	Q53SF4_HUMAN	"Receptor protein serine/threonine kinase, EC 2.7.11.30"	ACVR1	Homo sapiens (Human)	153
ACVR1	Q53SV1	unreviewed	Q53SV1_HUMAN	"Receptor protein serine/threonine kinase, EC 2.7.11.30"	ACVR1	Homo sapiens (Human)	355
ACVR1B	P36896	reviewed	ACV1B_HUMAN	"Activin receptor type-1B, EC 2.7.11.30 (Activin receptor type IB, ACTR-IB) (Activin receptor-like kinase 4, ALK-4) (Serine/threonine-protein kinase receptor R2, SKR2)"	ACVR1B ACVRLK4 ALK4	Homo sapiens (Human)	505
ACVR1B	F5H5Q2	unreviewed	F5H5Q2_HUMAN	Activin receptor type-1B	ACVR1B	Homo sapiens (Human)	71
ACVR2A	P27037	reviewed	AVR2A_HUMAN	"Activin receptor type-2A, EC 2.7.11.30 (Activin receptor type IIA, ACTR-IIA, ACTRIIA)"	ACVR2A ACVR2	Homo sapiens (Human)	513
AFDN	P55196	reviewed	AFAD_HUMAN	"Afadin (ALL1-fused gene from chromosome 6 protein, Protein AF-6) (Afadin adherens junction formation factor)"	AFDN AF6 MLLT4	Homo sapiens (Human)	1824
AFDN	A0A804HJ20	unreviewed	A0A804HJ20_HUMAN	Afadin	AFDN	Homo sapiens (Human)	1831
AFDN	A8MQ02	unreviewed	A8MQ02_HUMAN	Afadin	AFDN	Homo sapiens (Human)	1781
AFDN	E9PFY5	unreviewed	E9PFY5_HUMAN	Afadin	AFDN	Homo sapiens (Human)	250
AFDN	F8W9I4	unreviewed	F8W9I4_HUMAN	Afadin	AFDN	Homo sapiens (Human)	247
AFDN	H0Y7R8	unreviewed	H0Y7R8_HUMAN	Afadin	AFDN	Homo sapiens (Human)	389
AFDN	H0Y8L4	unreviewed	H0Y8L4_HUMAN	Afadin	AFDN	Homo sapiens (Human)	313
AFDN	H0Y8U8	unreviewed	H0Y8U8_HUMAN	Afadin	AFDN	Homo sapiens (Human)	295
AFDN	H0Y948	unreviewed	H0Y948_HUMAN	Afadin	AFDN	Homo sapiens (Human)	902
AFDN	H0Y9I0	unreviewed	H0Y9I0_HUMAN	Afadin	AFDN	Homo sapiens (Human)	129
AFDN	H0YA98	unreviewed	H0YA98_HUMAN	Afadin	AFDN	Homo sapiens (Human)	167
AFDN	J3KN01	unreviewed	J3KN01_HUMAN	Afadin	AFDN	Homo sapiens (Human)	1816
AFDN	Q5TIG5	unreviewed	Q5TIG5_HUMAN	Afadin	AFDN	Homo sapiens (Human)	1665
AFF1	P51825	reviewed	AFF1_HUMAN	"AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein, Protein AF-4) (Protein FEL) (Proto-oncogene AF4)"	AFF1 AF4 FEL MLLT2 PBM1	Homo sapiens (Human)	1210
AFF1	A0A669KBI3	unreviewed	A0A669KBI3_HUMAN	AF4/FMR2 family member 1	AFF1	Homo sapiens (Human)	1075
AFF1	D6RAU0	unreviewed	D6RAU0_HUMAN	AF4/FMR2 family member 1	AFF1	Homo sapiens (Human)	137
AFF1	D6RIZ5	unreviewed	D6RIZ5_HUMAN	AF4/FMR2 family member 1	AFF1	Homo sapiens (Human)	52
AFF1	E7EMC5	unreviewed	E7EMC5_HUMAN	AF4/FMR2 family member 1	AFF1	Homo sapiens (Human)	417
AFF1	E7ETI4	unreviewed	E7ETI4_HUMAN	AF4/FMR2 family member 1	AFF1	Homo sapiens (Human)	406
AFF1	F5GXF9	unreviewed	F5GXF9_HUMAN	AF4/FMR2 family member 1	AFF1	Homo sapiens (Human)	1205
AFF1	H0Y9S4	unreviewed	H0Y9S4_HUMAN	AF4/FMR2 family member 1	AFF1	Homo sapiens (Human)	194
AFF1	Q05D98	unreviewed	Q05D98_HUMAN	AFF1 protein	AFF1	Homo sapiens (Human)	415
AFF1	Q14C88	unreviewed	Q14C88_HUMAN	"AF4/FMR2 family, member 1 (AF4/FMR2 family, member 1, isoform CRA_b)"	AFF1 hCG_1816301	Homo sapiens (Human)	1211
AFF3	P51826	reviewed	AFF3_HUMAN	"AF4/FMR2 family member 3 (Lymphoid nuclear protein related to AF4, Protein LAF-4)"	AFF3 LAF4	Homo sapiens (Human)	1226
AFF3	A0A5F9ZHE5	unreviewed	A0A5F9ZHE5_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	43
AFF3	A0A5F9ZHH7	unreviewed	A0A5F9ZHH7_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	379
AFF3	A0A5F9ZHU9	unreviewed	A0A5F9ZHU9_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	143
AFF3	A0A5F9ZHV2	unreviewed	A0A5F9ZHV2_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	608
AFF3	A0A5F9ZHV9	unreviewed	A0A5F9ZHV9_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	115
AFF3	A0A5F9ZHZ1	unreviewed	A0A5F9ZHZ1_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	134
AFF3	C9J622	unreviewed	C9J622_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	161
AFF3	C9J847	unreviewed	C9J847_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	114
AFF3	C9JC67	unreviewed	C9JC67_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	165
AFF3	C9JIB1	unreviewed	C9JIB1_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	17
AFF3	C9JMS1	unreviewed	C9JMS1_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	99
AFF3	C9JUC4	unreviewed	C9JUC4_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	103
AFF3	C9JUY1	unreviewed	C9JUY1_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	54
AFF3	C9JZ66	unreviewed	C9JZ66_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	128
AFF3	H7C3W3	unreviewed	H7C3W3_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	179
AFF3	H7C4C2	unreviewed	H7C4C2_HUMAN	AF4/FMR2 family member 3	AFF3	Homo sapiens (Human)	580
AFF3	L8E9Z7	unreviewed	L8E9Z7_HUMAN	Alternative protein AFF3	AFF3	Homo sapiens (Human)	43
AFF4	Q9UHB7	reviewed	AFF4_HUMAN	"AF4/FMR2 family member 4 (ALL1-fused gene from chromosome 5q31 protein, Protein AF-5q31) (Major CDK9 elongation factor-associated protein)"	AFF4 AF5Q31 MCEF HSPC092	Homo sapiens (Human)	1163
AFF4	C9JCE0	unreviewed	C9JCE0_HUMAN	AF4/FMR2 family member 4	AFF4	Homo sapiens (Human)	148
AFF4	H7C319	unreviewed	H7C319_HUMAN	AF4/FMR2 family member 4	AFF4	Homo sapiens (Human)	171
AFF4	L8E815	unreviewed	L8E815_HUMAN	Alternative protein AFF4	AFF4	Homo sapiens (Human)	68
AFF4	Q8TAX5	unreviewed	Q8TAX5_HUMAN	AFF4 protein	AFF4	Homo sapiens (Human)	365
AKAP9	Q99996	reviewed	AKAP9_HUMAN	"A-kinase anchor protein 9, AKAP-9 (A-kinase anchor protein 350 kDa, AKAP 350, hgAKAP 350) (A-kinase anchor protein 450 kDa, AKAP 450) (AKAP 120-like protein) (Centrosome- and Golgi-localized PKN-associated protein, CG-NAP) (Protein hyperion) (Protein kinase A-anchoring protein 9, PRKA9) (Protein yotiao)"	AKAP9 AKAP350 AKAP450 KIAA0803	Homo sapiens (Human)	3907
AKAP9	A0A0A0MRF6	unreviewed	A0A0A0MRF6_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3931
AKAP9	A0A2R8Y590	unreviewed	A0A2R8Y590_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	2122
AKAP9	A0A6I8PUD8	unreviewed	A0A6I8PUD8_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	118
AKAP9	A0A7P0T8N5	unreviewed	A0A7P0T8N5_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3860
AKAP9	A0A7P0T8Z8	unreviewed	A0A7P0T8Z8_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	287
AKAP9	A0A7P0T928	unreviewed	A0A7P0T928_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3889
AKAP9	A0A7P0T939	unreviewed	A0A7P0T939_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3773
AKAP9	A0A7P0T9A9	unreviewed	A0A7P0T9A9_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3876
AKAP9	A0A7P0T9E2	unreviewed	A0A7P0T9E2_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	903
AKAP9	A0A7P0TAA2	unreviewed	A0A7P0TAA2_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3116
AKAP9	A0A7P0TAD6	unreviewed	A0A7P0TAD6_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3821
AKAP9	A0A7P0TAJ1	unreviewed	A0A7P0TAJ1_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	1120
AKAP9	A0A7P0TAX3	unreviewed	A0A7P0TAX3_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3827
AKAP9	A0A7P0TB09	unreviewed	A0A7P0TB09_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	117
AKAP9	A0A7P0TBH8	unreviewed	A0A7P0TBH8_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3923
AKAP9	A0A7P0TBI4	unreviewed	A0A7P0TBI4_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3920
AKAP9	A0A7P0Z4N5	unreviewed	A0A7P0Z4N5_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3915
AKAP9	A0A7P0Z4Q5	unreviewed	A0A7P0Z4Q5_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	3848
AKAP9	A4D1E4	unreviewed	A4D1E4_HUMAN	A kinase (PRKA) anchor protein (Yotiao) 9	AKAP9 tcag7.318	Homo sapiens (Human)	1655
AKAP9	H7BYL6	unreviewed	H7BYL6_HUMAN	A-kinase anchor protein 9	AKAP9	Homo sapiens (Human)	1571
AKAP9	Q6PJH3	unreviewed	Q6PJH3_HUMAN	"A kinase (PRKA) anchor protein (Yotiao) 9, isoform CRA_c (AKAP9 protein)"	AKAP9 hCG_1812018	Homo sapiens (Human)	314
AKT1	P31749	reviewed	AKT1_HUMAN	"RAC-alpha serine/threonine-protein kinase, EC 2.7.11.1 (Protein kinase B, PKB) (Protein kinase B alpha, PKB alpha) (Proto-oncogene c-Akt) (RAC-PK-alpha)"	AKT1 PKB RAC	Homo sapiens (Human)	480
AKT1	A0A087WY56	unreviewed	A0A087WY56_HUMAN	RAC-alpha serine/threonine-protein kinase	AKT1	Homo sapiens (Human)	146
AKT1	A0A0S2Z3D6	unreviewed	A0A0S2Z3D6_HUMAN	V-akt murine thymoma viral oncogene-like protein 1 isoform 2	AKT1	Homo sapiens (Human)	181
AKT1	A0A142IKA9	unreviewed	A0A142IKA9_HUMAN	Serine-threonine protein kinase	AKT1	Homo sapiens (Human)	41
AKT1	A0A804HJM6	unreviewed	A0A804HJM6_HUMAN	"Non-specific serine/threonine protein kinase, EC 2.7.11.1"	AKT1	Homo sapiens (Human)	505
AKT1	B0LPE5	unreviewed	B0LPE5_HUMAN	"RAC-alpha serine/threonine-protein kinase, EC 2.7.11.1 (RAC-PK-alpha)"	AKT1 hCG_96740	Homo sapiens (Human)	480
AKT1	G3V2I6	unreviewed	G3V2I6_HUMAN	RAC-alpha serine/threonine-protein kinase	AKT1	Homo sapiens (Human)	184
AKT1	G3V3X1	unreviewed	G3V3X1_HUMAN	RAC-alpha serine/threonine-protein kinase	AKT1	Homo sapiens (Human)	170
AKT1	X2CV47	unreviewed	X2CV47_HUMAN	AKT1m transcript variant 3	AKT1	Homo sapiens (Human)	38
AKT1	X2CVF3	unreviewed	X2CVF3_HUMAN	AKT1m transcript variant 1 (AKT1m transcript variant 2) (AKT1m transcript variant 4)	AKT1	Homo sapiens (Human)	38
AKT2	P31751	reviewed	AKT2_HUMAN	"RAC-beta serine/threonine-protein kinase, EC 2.7.11.1 (Protein kinase Akt-2) (Protein kinase B beta, PKB beta) (RAC-PK-beta)"	AKT2	Homo sapiens (Human)	481
AKT2	A0A0A0MRF1	unreviewed	A0A0A0MRF1_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	125
AKT2	A0A0U4CQG9	unreviewed	A0A0U4CQG9_HUMAN	"Non-specific serine/threonine protein kinase, EC 2.7.11.1"	AKT2	Homo sapiens (Human)	481
AKT2	A0A1B0GXA2	unreviewed	A0A1B0GXA2_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	132
AKT2	A0A5F9ZHJ8	unreviewed	A0A5F9ZHJ8_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	128
AKT2	A8MX96	unreviewed	A8MX96_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	133
AKT2	C9J258	unreviewed	C9J258_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	95
AKT2	C9JC83	unreviewed	C9JC83_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	107
AKT2	C9JHS6	unreviewed	C9JHS6_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	184
AKT2	C9JIF6	unreviewed	C9JIF6_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	67
AKT2	C9JIJ1	unreviewed	C9JIJ1_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	119
AKT2	E7EVP8	unreviewed	E7EVP8_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	134
AKT2	J3KRI8	unreviewed	J3KRI8_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	130
AKT2	J3KSY8	unreviewed	J3KSY8_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	99
AKT2	J3KT31	unreviewed	J3KT31_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	69
AKT2	J3KTC6	unreviewed	J3KTC6_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	53
AKT2	J3KTP4	unreviewed	J3KTP4_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	51
AKT2	J3QKW1	unreviewed	J3QKW1_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	396
AKT2	J3QL45	unreviewed	J3QL45_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	106
AKT2	J3QLS6	unreviewed	J3QLS6_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	157
AKT2	M0QZK3	unreviewed	M0QZK3_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	151
AKT2	M0QZW8	unreviewed	M0QZW8_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	56
AKT2	M0R0P9	unreviewed	M0R0P9_HUMAN	"Non-specific serine/threonine protein kinase, EC 2.7.11.1"	AKT2	Homo sapiens (Human)	450
AKT2	M0R275	unreviewed	M0R275_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	129
AKT2	M0R283	unreviewed	M0R283_HUMAN	RAC-beta serine/threonine-protein kinase	AKT2	Homo sapiens (Human)	117
AKT2	Q6P4H3	unreviewed	Q6P4H3_HUMAN	AKT2 protein	AKT2	Homo sapiens (Human)	147
